GSP Name,From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,Season,Import TL MW,Export TL MW,Import CAFPL MVA,Export CARPL MVA
Bustleholm,210401,12745,210404,BUST2_H10,BUST1_SGT1,BUST81_G1,S1,Winter,-340.1,-7.7,,480.0
Bustleholm,210401,12745,210404,BUST2_H10,BUST1_SGT1,BUST81_G1,S1,Intermediate Cool,-328.0,-7.7,,480.0
Bustleholm,210401,12745,210404,BUST2_H10,BUST1_SGT1,BUST81_G1,S1,Intermediate Warm,-328.0,-7.7,,480.0
Bustleholm,210401,12745,210404,BUST2_H10,BUST1_SGT1,BUST81_G1,S1,Summer,-285.4,-7.7,,480.0
Bustleholm,210402,12746,210405,BUST2_H20,BUST1_SGT2,BUST81_G2,S2,Winter,-340.1,-7.7,,480.0
Bustleholm,210402,12746,210405,BUST2_H20,BUST1_SGT2,BUST81_G2,S2,Intermediate Cool,-328.0,-7.7,,480.0
Bustleholm,210402,12746,210405,BUST2_H20,BUST1_SGT2,BUST81_G2,S2,Intermediate Warm,-328.0,-7.7,,480.0
Bustleholm,210402,12746,210405,BUST2_H20,BUST1_SGT2,BUST81_G2,S2,Summer,-285.4,-7.7,,480.0
Cellarhead,209300,134917,209308,CELL4_410,CELL1_#480,CELL81_G4,S4,Winter,-460.4,36.9,,
Cellarhead,209300,134917,209308,CELL4_410,CELL1_#480,CELL81_G4,S4,Intermediate Cool,-428.5,36.9,,
Cellarhead,209300,134917,209308,CELL4_410,CELL1_#480,CELL81_G4,S4,Intermediate Warm,-428.5,36.9,,
Cellarhead,209300,134917,209308,CELL4_410,CELL1_#480,CELL81_G4,S4,Summer,-371.6,36.9,,
Cellarhead,209302,134913,209306,CELL4_210,CELL1_#280,CELL81_G2,S2,Winter,-460.4,36.9,,
Cellarhead,209302,134913,209306,CELL4_210,CELL1_#280,CELL81_G2,S2,Intermediate Cool,-428.5,36.9,,
Cellarhead,209302,134913,209306,CELL4_210,CELL1_#280,CELL81_G2,S2,Intermediate Warm,-428.5,36.9,,
Cellarhead,209302,134913,209306,CELL4_210,CELL1_#280,CELL81_G2,S2,Summer,-371.6,36.9,,
Cellarhead,209303,134911,209309,CELL4_1010,CELL1_#1080,CELL81_G10,10,Winter,-460.4,36.9,,
Cellarhead,209303,134911,209309,CELL4_1010,CELL1_#1080,CELL81_G10,10,Intermediate Cool,-428.5,36.9,,
Cellarhead,209303,134911,209309,CELL4_1010,CELL1_#1080,CELL81_G10,10,Intermediate Warm,-428.5,36.9,,
Cellarhead,209303,134911,209309,CELL4_1010,CELL1_#1080,CELL81_G10,10,Summer,-371.6,36.9,,
Cellarhead,209304,134915,209305,CELL4_110,CELL1_#180,CELL81_G1,S1,Winter,-460.4,36.9,,
Cellarhead,209304,134915,209305,CELL4_110,CELL1_#180,CELL81_G1,S1,Intermediate Cool,-428.5,36.9,,
Cellarhead,209304,134915,209305,CELL4_110,CELL1_#180,CELL81_G1,S1,Intermediate Warm,-428.5,36.9,,
Cellarhead,209304,134915,209305,CELL4_110,CELL1_#180,CELL81_G1,S1,Summer,-371.6,36.9,,
Chesterfield,342814,370200,0,CHTE1_#180,CHTE2_#H10,,S1,Winter,-514.0,437.2,,720.0
Chesterfield,342814,370200,0,CHTE1_#180,CHTE2_#H10,,S1,Intermediate Cool,-492.0,437.2,,720.0
Chesterfield,342814,370200,0,CHTE1_#180,CHTE2_#H10,,S1,Intermediate Warm,-492.0,437.2,,720.0
Chesterfield,342814,370200,0,CHTE1_#180,CHTE2_#H10,,S1,Summer,-410.2,437.2,,720.0
Chesterfield,370201,342818,36250,CHTE2_#H20,CHTE1_#280,CHTE81_G2,S2,Winter,-514.0,437.2,,720.0
Chesterfield,370201,342818,36250,CHTE2_#H20,CHTE1_#280,CHTE81_G2,S2,Intermediate Cool,-492.0,437.2,,720.0
Chesterfield,370201,342818,36250,CHTE2_#H20,CHTE1_#280,CHTE81_G2,S2,Intermediate Warm,-492.0,437.2,,720.0
Chesterfield,370201,342818,36250,CHTE2_#H20,CHTE1_#280,CHTE81_G2,S2,Summer,-410.2,437.2,,720.0
Chesterfield,370202,342834,36251,CHTE2_#H30,CHTE1_#380,CHTE81_G3,S3,Winter,-514.0,437.2,,720.0
Chesterfield,370202,342834,36251,CHTE2_#H30,CHTE1_#380,CHTE81_G3,S3,Intermediate Cool,-492.0,437.2,,720.0
Chesterfield,370202,342834,36251,CHTE2_#H30,CHTE1_#380,CHTE81_G3,S3,Intermediate Warm,-492.0,437.2,,720.0
Chesterfield,370202,342834,36251,CHTE2_#H30,CHTE1_#380,CHTE81_G3,S3,Summer,-410.2,437.2,,720.0
Chesterfield,370203,342830,36253,CHTE2_#H40,CHTE1_#480,CHTE81_G4,S4,Winter,-514.0,437.2,,720.0
Chesterfield,370203,342830,36253,CHTE2_#H40,CHTE1_#480,CHTE81_G4,S4,Intermediate Cool,-492.0,437.2,,720.0
Chesterfield,370203,342830,36253,CHTE2_#H40,CHTE1_#480,CHTE81_G4,S4,Intermediate Warm,-492.0,437.2,,720.0
Chesterfield,370203,342830,36253,CHTE2_#H40,CHTE1_#480,CHTE81_G4,S4,Summer,-410.2,437.2,,720.0
Coventry,419600,329613,33232,COVE2_#H10,COVE1_#180,COVE8G1,S1,Winter,-503.3,178.2,,180.0
Coventry,419600,329613,33232,COVE2_#H10,COVE1_#180,COVE8G1,S1,Intermediate Cool,-433.7,178.2,,180.0
Coventry,419600,329613,33232,COVE2_#H10,COVE1_#180,COVE8G1,S1,Intermediate Warm,-433.7,178.2,,180.0
Coventry,419600,329613,33232,COVE2_#H10,COVE1_#180,COVE8G1,S1,Summer,-367.8,178.2,,180.0
Coventry,419601,329627,33230,COVE2_#H20,COVE1_#280,COVE8G2,S2,Winter,-503.3,178.2,,180.0
Coventry,419601,329627,33230,COVE2_#H20,COVE1_#280,COVE8G2,S2,Intermediate Cool,-433.7,178.2,,180.0
Coventry,419601,329627,33230,COVE2_#H20,COVE1_#280,COVE8G2,S2,Intermediate Warm,-433.7,178.2,,180.0
Coventry,419601,329627,33230,COVE2_#H20,COVE1_#280,COVE8G2,S2,Summer,-367.8,178.2,,180.0
Coventry,419602,329611,33233,COVE2_#H30,COVE1_#380,COVE8G3,S3,Winter,-503.3,178.2,,180.0
Coventry,419602,329611,33233,COVE2_#H30,COVE1_#380,COVE8G3,S3,Intermediate Cool,-433.7,178.2,,180.0
Coventry,419602,329611,33233,COVE2_#H30,COVE1_#380,COVE8G3,S3,Intermediate Warm,-433.7,178.2,,180.0
Coventry,419602,329611,33233,COVE2_#H30,COVE1_#380,COVE8G3,S3,Summer,-367.8,178.2,,180.0
Coventry,419603,329625,33231,COVE2_#H40,COVE1_#480,COVE8G4,S4,Winter,-503.3,178.2,,180.0
Coventry,419603,329625,33231,COVE2_#H40,COVE1_#480,COVE8G4,S4,Intermediate Cool,-433.7,178.2,,180.0
Coventry,419603,329625,33231,COVE2_#H40,COVE1_#480,COVE8G4,S4,Intermediate Warm,-433.7,178.2,,180.0
Coventry,419603,329625,33231,COVE2_#H40,COVE1_#480,COVE8G4,S4,Summer,-367.8,178.2,,180.0
Drakelow,315700,450922,45060,DRAK4_#710,DRAK1_#780,DRAK8G7,S7,Winter,-143.9,29.5,,
Drakelow,315700,450922,45060,DRAK4_#710,DRAK1_#780,DRAK8G7,S7,Intermediate Cool,-130.6,29.5,,
Drakelow,315700,450922,45060,DRAK4_#710,DRAK1_#780,DRAK8G7,S7,Intermediate Warm,-130.6,29.5,,
Drakelow,315700,450922,45060,DRAK4_#710,DRAK1_#780,DRAK8G7,S7,Summer,-114.5,29.5,,
Drakelow,315701,450908,45061,DRAK4_#810,DRAK1_#880,DRAK8G8,S8,Winter,-143.9,29.5,,
Drakelow,315701,450908,45061,DRAK4_#810,DRAK1_#880,DRAK8G8,S8,Intermediate Cool,-130.6,29.5,,
Drakelow,315701,450908,45061,DRAK4_#810,DRAK1_#880,DRAK8G8,S8,Intermediate Warm,-130.6,29.5,,
Drakelow,315701,450908,45061,DRAK4_#810,DRAK1_#880,DRAK8G8,S8,Summer,-114.5,29.5,,
East Claydon (EM),369400,369317,30160,ECLA4_110,ECLA1_180,ECLA81_G1,S1,Winter,,,,
East Claydon (EM),369400,369317,30160,ECLA4_110,ECLA1_180,ECLA81_G1,S1,Intermediate Cool,,,,
East Claydon (EM),369400,369317,30160,ECLA4_110,ECLA1_180,ECLA81_G1,S1,Intermediate Warm,,,,
East Claydon (EM),369400,369317,30160,ECLA4_110,ECLA1_180,ECLA81_G1,S1,Summer,,,,
East Claydon (EM),369401,369324,30161,ECLA4_210,ECLA1_280,ECLA81_G2,S2,Winter,,,,
East Claydon (EM),369401,369324,30161,ECLA4_210,ECLA1_280,ECLA81_G2,S2,Intermediate Cool,,,,
